"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"270","48","612","Block Group 1, Census Tract 75.04, District of Columbia, District of Columbia","11","001","007504","1"
"271","18","97","Block Group 1, Census Tract 76.01, District of Columbia, District of Columbia","11","001","007601","1"
"272","27","178","Block Group 2, Census Tract 76.01, District of Columbia, District of Columbia","11","001","007601","2"
"273","10","219","Block Group 3, Census Tract 76.01, District of Columbia, District of Columbia","11","001","007601","3"
"274","37","154","Block Group 4, Census Tract 76.01, District of Columbia, District of Columbia","11","001","007601","4"
"275","8","124","Block Group 5, Census Tract 76.01, District of Columbia, District of Columbia","11","001","007601","5"
"276","33","367","Block Group 1, Census Tract 76.03, District of Columbia, District of Columbia","11","001","007603","1"
"277","40","294","Block Group 2, Census Tract 76.03, District of Columbia, District of Columbia","11","001","007603","2"
"278","0","88","Block Group 3, Census Tract 76.03, District of Columbia, District of Columbia","11","001","007603","3"
"279","0","272","Block Group 4, Census Tract 76.03, District of Columbia, District of Columbia","11","001","007603","4"
"280","0","128","Block Group 1, Census Tract 76.04, District of Columbia, District of Columbia","11","001","007604","1"
"281","68","433","Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia","11","001","007604","2"
"282","0","168","Block Group 3, Census Tract 76.04, District of Columbia, District of Columbia","11","001","007604","3"
"283","21","130","Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia","11","001","007605","1"
"284","0","522","Block Group 2, Census Tract 76.05, District of Columbia, District of Columbia","11","001","007605","2"
"285","20","157","Block Group 3, Census Tract 76.05, District of Columbia, District of Columbia","11","001","007605","3"
"286","25","218","Block Group 1, Census Tract 77.03, District of Columbia, District of Columbia","11","001","007703","1"
"287","99","292","Block Group 2, Census Tract 77.03, District of Columbia, District of Columbia","11","001","007703","2"
"288","46","547","Block Group 3, Census Tract 77.03, District of Columbia, District of Columbia","11","001","007703","3"
"289","0","126","Block Group 4, Census Tract 77.03, District of Columbia, District of Columbia","11","001","007703","4"
"290","52","594","Block Group 1, Census Tract 77.07, District of Columbia, District of Columbia","11","001","007707","1"
